source_id	hk_id	name	prefix	bdu_name	sci_name	measure	unit	mined	rate	scaling	offset	digits	alarm_enable	lolo_limit	lo_limit	hi_limit	hihi_limit	warn_enable	average	deadband	alarm_actions	alarm_action_1	alarm_action_2	alarm_action_3	warn_actions	warn_action_1	warn_action_2	warn_action_3	PACKET_TYPE	PACKET_SUBTYPE	DECODE_TYPE	DECODE_ID1	DECODE_ID2	DECODE_ID3	DECODE_ID4	RAW_FMT	ENG_FMT	ENG_EQ_TYPE	ENG_K1	ENG_K2	SCI_FMT	SCI_EQ_TYPE	SCI_FROM_ENG	SCI_K1	SCI_K2	SCI_K3	SCI_K4	SCI_K5	SCI_K6	SCI_K7	SCI_K8	MUX_CH	LIMIT_TYPE_1	YELLOW_LIMIT_1	RED_LIMIT_1	LIMIT_TYPE_2	YELLOW_LIMIT_2	RED_LIMIT_2
1	1	Chiller Setpoint	LSR			temperature	C	1	0.017	1	0	3	0	0	0	0	0	0	0	0	0				0																																	
1	2	Chiller Temp	LSR			temperature	C	1	0.017	1	0	0	0	0	0	0	0	0	0	0	0				0																																	
1	3	LAS HV Monitor	LSR			voltage	kV	1	0.017	1.6	0	3	1	2.7	2.8	4	4.1	1	0	60	2	1	0		1	1																																
1	4	LAS Pres Sensor 1	LSR			pressure	atm	1	0.017	1	1	3	0	0	0	0	0	0	1	0	0				0																																	
1	5	LAS Pres Sensor 2	LSR			pressure	atm	1	0.017	1	1	3	0	0	0	0	0	0	1	0	0				0																																	
1	6	LAS QSD PCB Temp Monitor	LSR			temperature	C	1	0.017	16	-0.3125	3	1	0	30	40	0	0	0	60	0				1	1																																
1	7	LAS QS Temp Monitor	LSR			temperature	C	1	0.017	16	-0.3125	3	1	0	28	38	0	0	0	60	0				1	1																																
1	8	LAS Diodes Temp	LSR			temperature	C	1	0.017	1	0	3	1	25	36	40	45	1	0	60	2	1	0		1	1																																
1	9	LAS GRM Side Temp	LSR			temperature	C	1	0.017	1	0	3	1	0	28	38	0	0	0	60	0				1	1																																
1	10	LAS HR Side Temp	LSR			temperature	C	1	0.017	1	0	3	1	0	31	39	0	0	0	60	0				1	1																																
1	11	LAS Pedestal Temp	LSR			temperature	C	1	0.017	1	0	3	1	0	31	39	0	0	0	60	0				1	1																																
1	12	LAS Slab Bridge Temp	LSR			temperature	C	1	0.017	1	0	3	1	0	35	44	0	0	0	60	0				1	1																																
1	13	LAS Current 12V PS	LSR			current	A	1	0.017	10	0	3	0	0	0	0	0	0	1	0	0				0																																	
1	14	LAS Voltage LC PS	LSR			voltage	V	1	0.017	15	0	3	1	0	67	83	0	0	0	60	0				1	1																																
1	15	LC Amp Set	LSR			current	A	1	0.017	1	0	3	0	0	0	0	0	0	0	0	0				0																																	
1	16	LC Current	LSR			current	A	1	0.017	1	0	3	1	0	47	49	0	0	0	60	0				1	1																																
1	17	LC Freq	LSR			frequency	Hz	1	0.017	1	0	3	1	200	240	244	250	1	0	60	2	0	1		1	1																																
1	18	LC QPW	LSR			current	A	1	0.017	1	0	3	0	0	0	0	0	0	0	0	0				0																																	
1	19	LC QP Offset	LSR			time	us	1	0.017	1	0	3	0	0	0	0	0	0	0	0	0				0																																	
1	20	LC Standby I	LSR			current	A	1	0.017	1	0	3	0	0	0	0	0	0	0	0	0				0																																	
1	21	LC Temperature	LSR			temperature	C	1	0.017	1	0	3	1	0	10	32	0	0	0	60	0				1	1																																
1	22	LC Voltage	LSR			voltage	V	1	0.017	1	0	3	0	0	0	0	0	0	0	0	0				0																																	
1	23	LC Shotcount	LSR			count	Kshots	1	0.017	1	0	3	0	0	0	0	0	0	0	0	0				0																																	
1	24	LC ShotcountK LDA	LSR			count	Kshots	1	0.017	1	0	3	0	0	0	0	0	0	0	0	0				0																																	
1	25	LC ShotcountK QS	LSR			count	Kshots	1	0.017	1	0	3	0	0	0	0	0	0	0	0	0				0																																	
1	26	LC State	LSR					1	0.017	1	0	3	0	0	0	0	0	0	0	0	0				0																																	
1	27	NOVA Energy Monitor	LSR			power	mW	1	0.017	1	0	0	0	0	0	0	0	0	0	0	0				0																																	
1	28	Start Pulse Width	LSR			time	ns	1	0.017	1	0	3	0	0	0	0	0	0	0	0	0				0																																	
1	29	Wav Exposure	LSR			time	ms	1	0.017	1	0	3	0	0	0	0	0	0	0	0	0				0																																	
1	30	Wav Pressure	LSR			pressure	mbar	1	0.017	1	0	3	0	0	0	0	0	0	0	0	0				0																																	
1	31	Wav Temperature	LSR			temperature	C	1	0.017	1	0	3	0	0	0	0	0	0	0	0	0				0																																	
1	32	Wav Wavelength (air)	LSR			length	nm	1	0.017	1	0	3	0	0	0	0	0	0	0	0	0				0																																	
1	33	Wav Wavelength (vac)	LSR			length	nm	1	0.017	1	0	3	1	0	0	1064.7	0	0	0	60	0				1	1																																
1	34	MasterCam RefDiode DivX	LSR					0	0.017	1	0	0	0	0	0	0	0	0	0	0	0				0																																	
1	35	MasterCam RefDiode DivY	LSR					0	0.017	1	0	0	0	0	0	0	0	0	0	0	0				0																																	
1	36	MasterCam RefDiode Drift	LSR			location	um	0	0.017	1	0	3	0	0	0	0	0	0	1	0	0				0																																	
1	37	MasterCam RefDiode DriftX	LSR			location	um	0	0.017	1	0	3	0	0	0	0	0	0	1	0	0				0																																	
1	38	MasterCam RefDiode DriftY	LSR			location	um	0	0.017	1	0	3	0	0	0	0	0	0	1	0	0				0																																	
1	39	MasterCam RefDiode Pow%InAperture	LSR					0	0.017	1	0	0	0	0	0	0	0	0	0	0	0				0																																	
1	40	MasterCam RefDiode PowPk	LSR				counts	1	0.017	1	0	3	0	0	0	0	0	0	1	0	0				0																																	
1	41	MasterCam RefDiode CentroidX	LSR			location	um	1	0.017	1	0	3	0	0	0	0	0	0	1	0	0				0																																	
1	42	MasterCam RefDiode CentroidY	LSR			location	um	1	0.017	1	0	3	0	0	0	0	0	0	1	0	0				0																																	
1	43	MasterCam RefDiode D4SigmaX	LSR					0	0.017	1	0	0	0	0	0	0	0	0	0	0	0				0																																	
1	44	MasterCam RefDiode D4SigmaY	LSR					0	0.017	1	0	0	0	0	0	0	0	0	0	0	0				0																																	
1	45	MasterCam RefDiode PerOfPkX	LSR					0	0.017	1	0	0	0	0	0	0	0	0	0	0	0				0																																	
1	46	MasterCam RefDiode PerOfPkY	LSR					0	0.017	1	0	0	0	0	0	0	0	0	0	0	0				0																																	
1	47	MasterCam RefDiode PkLocX	LSR			location	um	1	0.017	1	0	3	0	0	0	0	0	0	1	0	0				0																																	
1	48	MasterCam RefDiode PkLocY	LSR			location	um	1	0.017	1	0	3	0	0	0	0	0	0	1	0	0				0																																	
1	49	MasterCam BoxCube Drift	LSR			location	um	1	0.017	1	0	3	0	0	0	0	0	0	1	0	0				0																																	
1	50	MasterCam BoxCube DriftX	LSR			location	um	1	0.017	1	0	3	0	0	0	0	0	0	1	0	0				0																																	
1	51	MasterCam BoxCube DriftY	LSR			location	um	1	0.017	1	0	3	0	0	0	0	0	0	1	0	0				0																																	
1	52	MasterCam BoxCube PowPk	LSR				counts	1	0.017	1	0	3	0	0	0	0	0	0	1	0	0				0																																	
1	53	MasterCam BoxCube PowTotal	LSR					0	0.017	1	0	0	0	0	0	0	0	0	0	0	0				0																																	
1	54	MasterCam BoxCube CentroidX	LSR			location	um	1	0.017	1	0	3	0	0	0	0	0	0	1	0	0				0																																	
1	55	MasterCam BoxCube CentroidY	LSR			location	um	1	0.017	1	0	3	0	0	0	0	0	0	1	0	0				0																																	
