Data ID	Sub System	Name	ADC No	Packet Type	Packet Subtype	Decode Type	Decode ID1	Decode ID2	Decode ID3	Decode ID4	Raw Format	Eng Format	Eng Eq Type	Eng K1	Eng K2	Sci Units	Sci Format	Sci Eq Type	Sci From Eng	Sci K1	Sci K2	Sci K3	Sci K4	Sci K5	Sci K6	Sci K7	Sci K8	Mux Ch	Eng Limit Type	Eng Yellow Limit	Eng Red Limit	Sci Limit Type	Sci Yellow Limit	Sci Red Limit
1	CDH	+5D_VMON	2	5	0	101	1	0	0	0	%d	%.4f	2	1	10	V	%.4f	1	TRUE	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
2	CDH	+13A_VMON	2	5	0	101	2	0	0	0	%d	%.4f	2	1	10	V	%.4f	1	TRUE	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
3	CDH	-13A_VMON	2	5	0	101	3	0	0	0	%d	%.4f	2	1	10	V	%.4f	1	TRUE	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0
4	CDH	SPARE_4	2	5	0	101	4	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0
5	CDH	SPARE_5	2	5	0	101	5	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0.00E+00	0	0	0	5	0	0	0	0	0	0
6	CDH	AGC_TMP	2	5	0	101	6	0	0	0	%d	%.4f	2	1	10	C	%.1f	4	FALSE	32768	18700	0.000925626	0.000222443	1.23E-07	0	0	0	6	0	0	0	0	0	0
7	CDH	DET_TMP	2	5	0	101	7	0	0	0	%d	%.4f	2	1	10	C	%.1f	4	FALSE	32768	18700	0.000925626	0.000222443	1.23E-07	0	0	0	7	0	0	0	0	0	0
8	CDH	RF_TMP	2	5	0	101	8	0	0	0	%d	%.4f	2	1	10	C	%.1f	4	FALSE	32768	18700	0.000925626	0.000222443	1.23E-07	0	0	0	8	0	0	0	0	0	0
9	CDH	CDH_TMP	2	5	0	101	9	0	0	0	%d	%.4f	2	1	10	C	%.1f	4	FALSE	32768	18700	0.000925626	0.000222443	1.23E-07	0	0	0	9	0	0	0	0	0	0
10	CDH	-5.7VREF	2	5	0	101	10	0	0	0	%d	%.4f	2	1	10	V	%.4f	1	TRUE	0	1	0	0	0	0	0	0	10	0	0	0	0	0	0
11	CDH	PS_IMON_2	2	5	0	101	11	0	0	0	%d	%.4f	2	1	10	A	%.1f	1	TRUE	0	1	0	0	0	0	0	0	11	0	0	0	0	0	0
12	CDH	CDH_GND_REF	2	5	0	101	12	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	12	0	0	0	0	0	0
13	CDH	CTL_TMP	2	5	0	101	13	0	0	0	%d	%.4f	2	1	10	C	%.3f	4	FALSE	32768	18700	0.000925626	0.000222443	1.23E-07	0	0	0	13	0	0	0	0	0	0
14	CDH	CTL_+5VMON	2	5	0	101	14	0	0	0	%d	%.4f	2	1	10	V	%.3f	1	TRUE	0	1	0	0	0	0	0	0	14	0	0	0	0	0	0
15	CDH	CTL_+3.3VMON	2	5	0	101	15	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	15	0	0	0	0	0	0
16	CDH	CTL_+2.5VMON	2	5	0	101	16	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	16	0	0	0	0	0	0
17	CDH	CTL_+6VMON	2	5	0	101	17	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	17	0	0	0	0	0	0
18	CDH	CTL_+4VMON	2	5	0	101	18	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	18	0	0	0	0	0	0
19	CDH	CTL_+13VMON	2	5	0	101	19	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	19	0	0	0	0	0	0
20	CDH	CTL_-13VMON	2	5	0	101	20	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	20	0	0	0	0	0	0
21	CDH	PS_TMP	2	5	0	101	21	0	0	0	%d	%.4f	2	1	10	C	%.1f	4	FALSE	32768	18700	0.000925626	0.000222443	1.23E-07	0	0	0	21	0	0	0	0	0	0
22	CDH	5V_IMON	2	5	0	101	22	0	0	0	%d	%.4f	2	1	10	A	%.1f	1	TRUE	0	1	0	0	0	0	0	0	22	0	0	0	0	0	0
23	CDH	3.3V_IMON	2	5	0	101	23	0	0	0	%d	%.4f	2	1	10	A	%.1f	1	TRUE	0	1	0	0	0	0	0	0	23	0	0	0	0	0	0
24	CDH	+13V_MON	2	5	0	101	24	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	24	0	0	0	0	0	0
25	CDH	-13V_MON	2	5	0	101	25	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	25	0	0	0	0	0	0
26	CDH	CTL_+5VREF	2	5	0	101	26	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	26	0	0	0	0	0	0
27	CDH	CTL_-5VREF	2	5	0	101	27	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	27	0	0	0	0	0	0
28	CDH	CTL_SPARE	2	5	0	101	28	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	28	0	0	0	0	0	0
29	CDH	IA_L4A_MON	2	5	0	101	29	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	29	0	0	0	0	0	0
30	CDH	IA_L4B_MON	2	5	0	101	30	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	30	0	0	0	0	0	0
31	CDH	SL_TF_MON	2	5	0	101	31	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	31	0	0	0	0	0	0
32	CDH	SL_BB_MON	2	5	0	101	32	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	32	0	0	0	0	0	0
