Data ID	Sub System	Name	ADC No	Packet Type	Packet Subtype	Decode Type	Decode ID1	Decode ID2	Decode ID3	Decode ID4	Raw Format	Eng Format	Eng Eq Type	Eng K1	Eng K2	Sci Units	Sci Format	Sci Eq Type	Sci From Eng	Sci K1	Sci K2	Sci K3	Sci K4	Sci K5	Sci K6	Sci K7	Sci K8	Mux Ch	Limit Type 1	Yellow Limit 1	Red Limit 1	Limit Type 2	Yellow Limit 2	Red Limit 2
1	SEB	CTL_+5D_VMON	0	22	0	224	0	2	0xFFFF	0	%04X	%.3f	1	-5.00E+00	1.53E-04	V	%.3f	1	 true	0.00E+00	2.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0	0	0	0	0	0
2	SEB	CTL_+13A_VMON	0	22	0	224	1	2	0xFFFF	0	%04X	%.3f	1	-5.00E+00	1.53E-04	V	%.3f	1	 true	0.00E+00	4.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0	0	0	0	0	0
3	SEB	CTL_-13A_VMON	0	22	0	224	2	2	0xFFFF	0	%04X	%.3f	1	-5.00E+00	1.53E-04	V	%.3f	1	 true	0.00E+00	4.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0	0	0	0	0	0
4	SEB	CTL_+1.5D_VMON	0	22	0	224	3	2	0xFFFF	0	%04X	%.3f	1	-5.00E+00	1.53E-04	V	%.3f	1	 true	0.00E+00	1.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0	0	0	0	0	0
5	SEB	CTL_+3.3_VMON	0	22	0	224	4	2	0xFFFF	0	%04X	%.3f	1	-5.00E+00	1.53E-04	V	%.3f	1	 true	0.00E+00	1.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0	0	0	0	0	0
6	SEB	N_-5KV_MON	0	22	0	224	5	2	0xFFFF	0	%04X	%.3f	1	-5.00E+00	1.53E-04	V	%1.0f	1	 true	0.00E+00	-2.00E+03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0	0	0	0	0	0
7	SEB	SPARE_GND	0	22	0	224	6	2	0xFFFF	0	%04X	%.3f	1	0.00E+00	1.00E+00		%1.0f	0	 false	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0	0	0	0	0	0
8	SEB	RF_AGC_MON	0	22	0	224	7	2	0xFFFF	0	%04X	%.3f	1	-5.00E+00	1.53E-04	V	%.3f	1	 true	0.00E+00	1.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0	0	0	0	0	0
9	SEB	GC_EC(HV1-1)_VMON	0	22	0	224	8	2	0xFFFF	0	%04X	%.3f	1	-5.00E+00	1.53E-04	V	%.3f	1	 true	0.00E+00	-1.00E+02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0	0	0	0	0	0
10	SEB	GND	0	22	0	224	9	2	0xFFFF	0	%04X	%.3f	1	0.00E+00	1.00E+00		%1.0f	0	 false	0.00E+00	1.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0	0	0	0	0	0
