"Cup No","Type","Notes"
"1","m",
"2","q",
"3","m",
"4","q",
"5","t",
"6","q",
"7","q",
"8","q",
"9","q",
"10","q",
"11","q",
"12","q",
"13","q",
"14","q",
"15","q",
"16","c",
"17","c",
"18","c",
"19","c",
"20","c",
"21","c",
"22","q",
"23","q",
"24","q",
"25","q",
"26","q",
"27","q",
"28","q",
"29","q",
"30","q",
"31","q",
"32","q",
"33","q",
"34","q",
"35","q",
"36","q",
"37","q",
"38","q",
"39","q",
"40","q",
"41","q",
"42","q",
"43","q",
"44","q",
"45","q",
"46","q",
"47","q",
"48","q",
"49","q",
"50","q",
"51","q",
"52","q",
"53","q",
"54","q",
"55","q",
"56","q",
"57","q",
"58","q",
"59","q",
"60","q",
"61","t",
"62","q",
"63","q",
"64","q",
"65","m",
"66","q",
"67","m",
"68","q",
"69","m",
"70","q",
"71","m",
"72","q",
"73","m",
"74","q",
