Data ID	Sub System	Name	ADC No	Packet Type	Packet Subtype	Decode Type	Decode ID1	Decode ID2	Decode ID3	Decode ID4	Raw Format	Eng Format	Eng Eq Type	Eng K1	Eng K2	Sci Units	Sci Format	Sci Eq Type	Sci From Eng	Sci K1	Sci K2	Sci K3	Sci K4	Sci K5	Sci K6	Sci K7	Sci K8	Mux Ch	Limit Type 1	Yellow Limit 1	Red Limit 1	Limit Type 2	Yellow Limit 2	Red Limit 2
1	SEB	CTL_+5D_VMON	0	22	0	224	0	2	0xFFFF	0	%04X	%.2f	1	-5	0.000152588	V	%.4f	1	TRUE	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2	SEB	CTL_+13A_VMON	0	22	0	224	1	2	0xFFFF	0	%04X	%.2f	1	-5	0.000152588	V	%.4f	1	TRUE	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
3	SEB	CTL_-13A_VMON	0	22	0	224	2	2	0xFFFF	0	%04X	%.2f	1	-5	0.000152588	V	%.4f	1	TRUE	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
4	SEB	CTL_+1.5D_VMON	0	22	0	224	3	2	0xFFFF	0	%04X	%.2f	1	-5	0.000152588	V	%.4f	1	TRUE	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5	SEB	CTL_+3.3_VMON	0	22	0	224	4	2	0xFFFF	0	%04X	%.2f	1	-5	0.000152588	V	%.4f	1	TRUE	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
6	SEB	N_-5KV_MON	0	22	0	224	5	2	0xFFFF	0	%04X	%.2f	1	-5	0.000152588	V	%.4f	1	TRUE	0	-2000	0	0	0	0	0	0	0	0	0	0	0	0	0
7	SEB	SPARE_GND	0	22	0	224	6	2	0xFFFF	0	%04X	%.2f	1	0	1	V	%.4f	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	SEB	RF_AGC_MON	0	22	0	224	7	2	0xFFFF	0	%04X	%.2f	1	-5	0.000152588	V	%.4f	1	TRUE	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
9	SEB	GC_EC(HV1-1)_VMON	0	22	0	224	8	2	0xFFFF	0	%04X	%.2f	1	-5	0.000152588	V	%.4f	1	TRUE	0	-100	0	0	0	0	0	0	0	0	0	0	0	0	0
10	SEB	GND	0	22	0	224	9	2	0xFFFF	0	%04X	%.2f	1	0	1	V	%.4f	0	FALSE	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
11	SEB	PH_TEMP	0	22	0	224	10	2	0xFFFF	0	%04X	%.2f	3	32768	18700	C	%.4f	4	FALSE	32768	18700	0.0009354	0.0002211	1.275E-07	0	0	0	0	0x3	-56	-58	0x7	71	73
12	SEB	FB_TEMP	0	22	0	224	11	2	0xFFFF	0	%04X	%.2f	3	32768	18700	C	%.4f	4	FALSE	32768	18700	0.0009354	0.0002211	1.275E-07	0	0	0	0	0x3	-56	-58	0x7	71	73
13	SEB	DET_TEMP	0	22	0	224	12	2	0xFFFF	0	%04X	%.2f	3	32768	18700	C	%.4f	4	FALSE	32768	18700	0.0009354	0.0002211	1.275E-07	0	0	0	0	0x3	-56	-58	0x7	71	73
14	SEB	RF_PA_TEMP	0	22	0	224	13	2	0xFFFF	0	%04X	%.2f	3	32768	18700	C	%.4f	4	FALSE	32768	18700	0.0009354	0.0002211	1.275E-07	0	0	0	0	0x3	-56	-58	0x7	71	73
15	SEB	RF_CTRL_TEMP	0	22	0	224	14	2	0xFFFF	0	%04X	%.2f	3	32768	18700	C	%.4f	4	FALSE	32768	18700	0.0009354	0.0002211	1.275E-07	0	0	0	0	0x3	-56	-58	0x7	71	73
16	SEB	CTL_TEMP	0	22	0	224	15	2	0xFFFF	0	%04X	%.2f	3	32768	18700	C	%.4f	4	FALSE	32768	18700	0.0009354	0.0002211	1.275E-07	0	0	0	0	0x3	-56	-58	0x7	71	73
17	SEB	IS_EMON_A	0	22	0	224	16	2	0xFFFF	0	%04X	%.2f	1	-5	0.000152588	uA	%.4f	1	TRUE	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0
18	SEB	IS_EMON_B	0	22	0	224	17	2	0xFFFF	0	%04X	%.2f	1	-5	0.000152588	uA	%.4f	1	TRUE	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0
19	SEB	FIL_VMON	0	22	0	224	18	2	0xFFFF	0	%04X	%.2f	1	-5	0.000152588	V	%.4f	1	TRUE	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
20	SEB	FIL_IMON	0	22	0	224	19	2	0xFFFF	0	%04X	%.2f	1	-5	0.000152588	A	%.4f	1	TRUE	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21	SEB	SPARE_GND2	0	22	0	224	20	2	0xFFFF	0	%04X	%.2f	1	0	1	V	%.4f	1	TRUE	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
22	SEB	EM1(HV2-3)_VMON	0	22	0	224	21	2	0xFFFF	0	%04X	%.2f	1	-5	0.000152588	V	%.4f	1	TRUE	0	-1000	0	0	0	0	0	0	0	0	0	0	0	0	0
23	SEB	EM2(HV2-4)_VMON	0	22	0	224	22	2	0xFFFF	0	%04X	%.2f	1	-5	0.000152588	V	%.4f	1	TRUE	0	-1000	0	0	0	0	0	0	0	0	0	0	0	0	0
24	SEB	SRC_A_FOC_A(-100_HV1)_VMON	0	22	0	224	23	2	0xFFFF	0	%04X	%.2f	1	-5	0.000152588	V	%.4f	1	TRUE	0	-100	0	0	0	0	0	0	0	0	0	0	0	0	0
25	SEB	SRC_B_FOC_A(-100_HV2)_VMON	0	22	0	224	24	2	0xFFFF	0	%04X	%.2f	1	-5	0.000152588	V	%.4f	1	TRUE	0	-100	0	0	0	0	0	0	0	0	0	0	0	0	0
26	SEB	LDI_EC(HV1-2)_VMON	0	22	0	224	25	2	0xFFFF	0	%04X	%.2f	1	-5	0.000152588	V	%.4f	1	TRUE	0	-100	0	0	0	0	0	0	0	0	0	0	0	0	0
27	SEB	ROD_BIAS(HV1-3)_VMON	0	22	0	224	26	2	0xFFFF	0	%04X	%.2f	1	-5	0.000152588	V	%.4f	1	TRUE	0	-100	0	0	0	0	0	0	0	0	0	0	0	0	0
28	SEB	OUTPUT_A(EI_ACCEL)_VMON	0	22	0	224	27	2	0xFFFF	0	%04X	%.2f	1	-5	0.000152588	V	%.4f	1	TRUE	0	-100	0	0	0	0	0	0	0	0	0	0	0	0	0
29	SEB	CTL_+5VREF_VMON	0	22	0	224	28	2	0xFFFF	0	%04X	%.2f	1	-5	0.000152588	V	%.4f	1	TRUE	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
30	SEB	CTL_-5VREF_VMON	0	22	0	224	29	2	0xFFFF	0	%04X	%.2f	1	-5	0.000152588	V	%.4f	1	TRUE	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
31	SEB	RF_PRES_MON	0	22	0	224	30	2	0xFFFF	0	%04X	%.2f	1	-5	0.000152588	psi	%.3f	1	TRUE	1.697	5.031952901	0	0	0	0	0	0	0	0	0	0	0	0	0
32	SEB	EM-1_DAC0_REG_RDBK	0	22	0	1	99	1	0xFF	0	%02X	%1.0f	0	0	1	V	%.4f	1	FALSE	990.5332268	-15.53385687	0	0	0	0	0	0	0	0	0	0	0	0	0
33	SEB	EM-2_DAC1_REG_RDBK	0	22	0	1	100	1	0xFF	0	%02X	%1.0f	0	0	1	V	%.4f	1	FALSE	994.4167301	-15.63145001	0	0	0	0	0	0	0	0	0	0	0	0	0
34	SEB	IS_EDAC_REG_RDBK	0	22	0	1	101	1	0xFF	0	%02X	%1.0f	0	0	1	uA	%.4f	1	FALSE	0	0.392156863	0	0	0	0	0	0	0	0	0	0	0	0	0
35	SEB	FIL_VDAC_REG_RDBK	0	22	0	1	102	1	0xFF	0	%02X	%1.0f	0	0	1	V	%.4f	1	FALSE	0	0.019607843	0	0	0	0	0	0	0	0	0	0	0	0	0
36	SEB	DET_A_THR_REG_RDBK	0	22	0	1	104	1	0xFF	0	%02X	%1.0f	0	0	1	V	%.4f	1	FALSE	0	0.019607843	0	0	0	0	0	0	0	0	0	0	0	0	0
37	SEB	DET_B_THR_REG_RDBK	0	22	0	1	103	1	0xFF	0	%02X	%1.0f	0	0	1	V	%.4f	1	FALSE	0	0.019607843	0	0	0	0	0	0	0	0	0	0	0	0	0
38	SEB	FOC_A_SRCA_DAC6_REG_RDBK	0	22	0	1	105	1	0xFF	0	%02X	%1.0f	0	0	1	V	%.4f	1	FALSE	-100	0.392156863	0	0	0	0	0	0	0	0	0	0	0	0	0
39	SEB	FOC_A_SRCB_DAC7_REG_RDBK	0	22	0	1	106	1	0xFF	0	%02X	%1.0f	0	0	1	V	%.4f	1	FALSE	-100	0.392156863	0	0	0	0	0	0	0	0	0	0	0	0	0
40	SEB	GC_EC_DAC8_REG_RDBK	0	22	0	1	107	2	0xFFFF	0	%03X	%1.0f	0	0	1	V	%.4f	1	FALSE	-230	0.112332112	0	0	0	0	0	0	0	0	0	0	0	0	0
41	SEB	LDI_EC_DAC9_REG_RDBK	0	22	0	1	109	2	0xFFFF	0	%03X	%1.0f	0	0	1	V	%.4f	1	FALSE	-230	0.112332112	0	0	0	0	0	0	0	0	0	0	0	0	0
42	SEB	OUT_A_DAC10_REG_RDBK	0	22	0	1	111	2	0xFFFF	0	%03X	%1.0f	0	0	1	V	%.4f	1	FALSE	-100	0.048840049	0	0	0	0	0	0	0	0	0	0	0	0	0
43	SEB	ION_REP_DAC11_REG_RDBK	0	22	0	1	113	2	0xFFFF	0	%03X	%1.0f	0	0	1	V	%.4f	1	FALSE	10	-0.004884005	0	0	0	0	0	0	0	0	0	0	0	0	0
44	SEB	ROD_BIAS_DAC12_REG_RDBK	0	22	0	1	115	2	0xFFFF	0	%03X	%1.0f	0	0	1	V	%.4f	1	FALSE	-230	0.112332112	0	0	0	0	0	0	0	0	0	0	0	0	0
45	SEB	RF_AMP_DAC13_REG_RDBK	0	22	0	1	117	2	0xFFFF	0	%04X	%1.0f	0	0	1	V	%.4f	1	FALSE	2505.117325	-0.038366765	0	0	0	0	0	0	0	0	0	0	0	0	0
46	SEB	AUX_AMP_DAC15_REG_RDBK	0	22	0	1	119	2	0xFFFF	0	%04X	%1.0f	0	0	1	V	%.4f	1	FALSE	0	0.000610361	0	0	0	0	0	0	0	0	0	0	0	0	0
47	SEB	EM_1_DAC0_SET	0	22	0	1	121	1	0xFF	0	%02X	%1.0f	0	0	1	V	%.4f	1	FALSE	990.5332268	-15.53385687	0	0	0	0	0	0	0	0	0	0	0	0	0
48	SEB	EM_2_DAC1_SET	0	22	0	1	122	1	0xFF	0	%02X	%1.0f	0	0	1	V	%.4f	1	FALSE	994.4167301	-15.63145001	0	0	0	0	0	0	0	0	0	0	0	0	0
49	SEB	IS_EDAC_SET	0	22	0	1	123	1	0xFF	0	%02X	%1.0f	0	0	1	uA	%.4f	1	FALSE	0	0.392156863	0	0	0	0	0	0	0	0	0	0	0	0	0
