category,name
background,Gas Chromatograph Sensors
background,TLS
chamber,WRP2
chamber,Getter 1
chamber,QMS
chamber,WRP1
chamber,Getter 2
chamber,Getter 3
chamber,H2O Scrubber
chamber,CO2 Scrubber
chamber,Pyrol-1 Oven
chamber,Pyrol-2 Oven
chamber,Shaker 1
chamber,Shaker 2
chamber,TLS Source
chamber,TLS Detector
chamber,Heriot_Cell TLS
choke,CR1
choke,CR2
gastank,O2
gastank,Cal
gastank,He1
gastank,He2
gcchamber,GC1
gcchamber,GC2
gcchamber,GC3
gcchamber,GC4
gcchamber,GC5
gcchamber,GC6
gcchamber,TCD2
gcchamber,TCD3
gcchamber,TCD4
gcchamber,TCD5
gcchamber,TCD6
gcchamber,IT1
gcchamber,IT2
gcchamber,IT3
heater,H01
heater,H02
heater,H03
heater,H04
heater,H05
heater,H06
heater,H07
heater,H08
heater,H09
heater,H10
heater,H11
heater,H12
heater,H13A
heater,H13B
heater,H13C
heater,H14A/B
heater,H15
heater,H16
heater,H17(5)
heater,H18
heater,H19
heater,H20A
heater,H20B/C
heater,H21(4)
heater,H22
heater,H23(4)
heater,H24A/B
heater,H25(3)
heater,H26A
heater,H26B/C/D
heater,H27
heater,H28(4)
heater,H29(4)
heater,H30
heater,H31A
heater,H31B
heater,H31C
heater,H32A
heater,H32B
heater,H32C
heater,H33A
heater,H33B
heater,H34A
heater,H34B
heater,H35A
heater,H35B
heater,H36A
heater,H36B
heater,H37
heater,H38
heater,H39A/B
heater,H40A/B
heater,H41A
heater,H41B
heater,H41C
heater,H41D
heater,H42A/B
heater,H43
heater,H44A
heater,H44B
heater,H45A/B
heater,H46
heater,H47A/B
heater,H48A
heater,H48(4)
heater,H49A
heater,H49B
heater,H50A
heater,H50B
heater,H51
heater,H52
heater,H53A/B
heater,H54
heater,H55
heater,H56A/B
heater,H57
heater,H58A/B
heater,H59
heater,H60A
heater,H60B
heater,TECA
heater,TECB
heater,PWA2
heater,PWA3
heater,PWA5
heater,PWA6
heater,PWA7
heater,PWB2
heater,PWB3
heater,PWB3
heater,PWB5
heater,PWB6
heater,PWB7
innerpipe,40to38
innerpipe,38to46
innerpipe,21to38
innerpipe,36to38
innerpipe,37to39
innerpipe,39toHe1
innerpipe,41to3846
innerpipe,43to44
innerpipe,44toHe2
innerpipe,44He2to45
innerpipe,39He1to42
innerpipe,45to48
innerpipe,47to4548
innerpipe,O2to4548
innerpipe,Calto4548
innerpipe,48to50
innerpipe,CO2Sto4850
innerpipe,H2OSto4850
innerpipe,1Getter2to4850
innerpipe,2Getter2to4850
innerpipe,4850to4850
innerpipe,50to51
innerpipe,VTH1to5051
innerpipe,VTH2to5051
innerpipe,VTH3to5051
innerpipe,VTH4to5051
innerpipe,51to33
innerpipe,58Ato5133
innerpipe,58Bto5133
innerpipe,13to5133
innerpipe,14to5133
innerpipe,15to5133
innerpipe,16to5133
innerpipe,17to5133
innerpipe,18to5133
innerpipe,1to7
innerpipe,2to8
innerpipe,3to9
innerpipe,4to10
innerpipe,5to11
innerpipe,6to12
innerpipe,28to33
innerpipe,30to2833
innerpipe,V52to2833
innerpipe,V51toV522833
innerpipe,V50toV522833
innerpipe,V13toV522833
innerpipe,302833to32
innerpipe,25to26
innerpipe,2526to31
innerpipe,2526to28
innerpipe,52to2526
innerpipe,Getter1to24
innerpipe,Getter1to52
innerpipe,22to30
innerpipe,2230to23
innerpipe,2230to27
innerpipe,20to21
innerpipe,31to55
innerpipe,32to56
innerpipe,3155to54
innerpipe,57to34
innerpipe,46toQMS
innerpipe,47toQMS
innerpipe,46QMSto47QMS
manifold,MN1A
manifold,MN1B
manifold,MN2
manifold,MN3
manifold,MN4
manifold,MN5
manifold,MN6
manifold,MN7
manifold,MN10
manifold,MN11
manifold,MN12
manifold,MN13
manifold,MN14
manifold,MN15
manifold,MN16
manifold,Vacuum Thermal Housing
manifold,MN8
pipe,P01
pipe,P02
pipe,P03
pipe,P04
pipe,P05
pipe,P06
pipe,P07
pipe,P08
pipe,P09
pipe,P10
pipe,P11
pipe,P12
pipe,P13
pipe,P14
pipe,P15
pipe,P16
pipe,P17
pipe,P18
pipe,P19
pipe,P20
pipe,P21
pipe,P22
pipe,P23
pipe,P24
pipe,P25
pipe,P26
pipe,P27
pipe,P28
pipe,P30
pipe,P31
pipe,P32
pipe,P33
pipe,P34
pipe,P35
pipe,P36
pipe,P37
pipe,P38
pipe,P39
pipe,P40
pipe,P41
pipe,P42
pipe,P43
pipe,P44
pipe,P45
pipe,P46
pipe,P47
pipe,P48
pipe,P50
pipe,P51
pipe,P52
pipe,P54
pipe,P55
pipe,P56
pipe,P57
pipe,P58
pipe,WRP1toHC1
pipe,MN4toCO2Scrubber
pipe,CO2ScrubbertoH2OScrubber
pipe,MN4toH2OScrubber
pipe,MN4toGetter2
pipe,Getter2toMN4
pipe,MN5toTraps
pipe,TrapstoMN5
pipe,MN5toVTH
pipe,VTHtoMN5
pipe,MN10toGetter1
pipe,Getter1toMN10
pipe,TCD2toGC2
pipe,TCD3toGC3
pipe,TCD4toGC4
pipe,TCD5toGC5
pipe,TCD6toGC6
pipe,GC4toIT1
pipe,GC5toIT2
pipe,GC6toIT3
prt,T01
prt,T02
prt,T03
prt,T04
prt,T05
prt,T06
prt,T07
prt,T08
prt,T09
prt,T10
prt,T11
prt,T12
prt,T13
prt,T14
prt,T15
prt,T16
prt,T17
prt,T18
prt,T19
prt,T22
prt,T23
prt,T24
prt,T25
prt,T26
prt,T27
prt,T28
prt,T29
prt,T30
prt,T31
prt,T32
prt,T33
prt,T34
prt,T35
prt,T36
prt,T37
prt,T38
prt,T39
prt,T40
prt,T41
prt,T42
prt,T43
prt,T44
prt,T45
prt,T46
prt,T47
prt,T48
prt,T49
prt,T50
prt,T51
prt,T52
prt,T53
prt,T54
prt,T55
prt,T56
prt,T57
prt,T58
prt,T59
prt,T60
prt,T61
prt,T62
prt,T63
prt,T66
prt,T67
sms,SMS
ssit,SSIT1
ssit,SSIT2
valve,V01
valve,V02
valve,V03
valve,V04
valve,V05
valve,V06
valve,V07
valve,V08
valve,V09
valve,V10
