"Cup No","Type","Notes"
"1","d",
"2","q",
"3","d",
"4","q",
"5","d",
"6","q",
"7","d",
"8","q",
"9","d",
"10","q",
"11","d",
"12","q",
"13","d",
"14","c",
"15","c",
"16","c",
"17","c",
"18","c",
"19","c",
"20","c",
"21","c",
"22","c",
"23","c",
"24","c",
"25","q",
"26","n",
"27","n",
"28","n",
"29","q",
"30","n",
"31","q",
"32","n",
"33","q",
"34","n",
"35","q",
"36","n",
"37","q",
"38","q",
"39","q",
"40","q",
"41","q",
"42","q",
"43","q",
"44","q",
"45","q",
"46","q",
"47","n",
"48","q",
"49","n",
"50","q",
"51","d",
"52","n",
"53","d",
"54","n",
"55","d",
"56","n",
"57","d",
"58","n",
"59","d",
"60","n",
"61","d",
"62","n",
"63","d",
"64","n",
"65","d",
"66","n",
"67","d",
"68","n",
"69","m",
"70","n",
"71","m",
"72","n",
"73","m",
"74","n",
