Name	Sub System	ADC No	Data ID	Packet Type	Packet Subtype	Decode Type	Decode ID1	Decode ID2	Decode ID3	Decode ID4	Raw Format	Eng Format	Eng Eq Type	Eng K1	Eng K2	Sci Units	Sci Format	Sci Eq Type	Sci From Eng	Sci K1	Sci K2	Sci K3	Sci K4	Sci K5	Sci K6	Sci K7	Sci K8	Mux Ch	Limit Type 1	Yellow Limit 1	Red Limit 1	Limit Type 2	Yellow Limit 2	Red Limit 2
CTL_+5D_VMON	SEB	0	1	22	0	224	0	2	0xFFFF	0	%04X	%.3f	1	-5	0.000152588	V	%.3f	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CTL_+13A_VMON	SEB	0	2	22	0	224	1	2	0xFFFF	0	%04X	%.3f	1	-5	0.000152588	V	%.3f	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
CTL_-13A_VMON	SEB	0	3	22	0	224	2	2	0xFFFF	0	%04X	%.3f	1	-5	0.000152588	V	%.3f	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
CTL_+1.5D_VMON	SEB	0	4	22	0	224	3	2	0xFFFF	0	%04X	%.3f	1	-5	0.000152588	V	%.3f	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CTL_+3.3_VMON	SEB	0	5	22	0	224	4	2	0xFFFF	0	%04X	%.3f	1	-5	0.000152588	V	%.3f	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
N_-5KV_MON	SEB	0	6	22	0	224	5	2	0xFFFF	0	%04X	%.3f	1	-5	0.000152588	V	%1.0f	1	1	0	-2000	0	0	0	0	0	0	0	0	0	0	0	0	0
SPARE_GND	SEB	0	7	22	0	224	6	2	0xFFFF	0	%04X	%.3f	1	0	1		%1.0f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RF_AGC_MON	SEB	0	8	22	0	224	7	2	0xFFFF	0	%04X	%.3f	1	-5	0.000152588	V	%.3f	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GC_EC(HV1-1)_VMON	SEB	0	9	22	0	224	8	2	0xFFFF	0	%04X	%.3f	1	-5	0.000152588	V	%.3f	1	1	0	-100	0	0	0	0	0	0	0	0	0	0	0	0	0
GND	SEB	0	10	22	0	224	9	2	0xFFFF	0	%04X	%.3f	1	0	1		%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PH_TEMP	SEB	0	11	22	0	224	10	2	0xFFFF	0	%04X	%.3f	3	32768	18700	C	%.2f	4	0	32768	18700	0.0009354	0.0002211	1.28E-07	0	0	0	0	0x3	-56	-58	0x7	71	73
FB_TEMP	SEB	0	12	22	0	224	11	2	0xFFFF	0	%04X	%.3f	3	32768	18700	C	%.2f	4	0	32768	18700	0.0009354	0.0002211	1.28E-07	0	0	0	0	0x3	-56	-58	0x7	71	73
DET_TEMP	SEB	0	13	22	0	224	12	2	0xFFFF	0	%04X	%.3f	3	32768	18700	C	%.2f	4	0	32768	18700	0.0009354	0.0002211	1.28E-07	0	0	0	0	0x3	-56	-58	0x7	71	73
RF_PA_TEMP	SEB	0	14	22	0	224	13	2	0xFFFF	0	%04X	%.3f	3	32768	18700	C	%.2f	4	0	32768	18700	0.0009354	0.0002211	1.28E-07	0	0	0	0	0x3	-56	-58	0x7	71	73
RF_CTRL_TEMP	SEB	0	15	22	0	224	14	2	0xFFFF	0	%04X	%.3f	3	32768	18700	C	%.2f	4	0	32768	18700	0.0009354	0.0002211	1.28E-07	0	0	0	0	0x3	-56	-58	0x7	71	73
CTL_TEMP	SEB	0	16	22	0	224	15	2	0xFFFF	0	%04X	%.3f	3	32768	18700	C	%.2f	4	0	32768	18700	0.0009354	0.0002211	1.28E-07	0	0	0	0	0x3	-56	-58	0x7	71	73
IS_EMON_A	SEB	0	17	22	0	224	16	2	0xFFFF	0	%04X	%.3f	1	-5	0.000152588	uA	%.4f	1	1	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0
IS_EMON_B	SEB	0	18	22	0	224	17	2	0xFFFF	0	%04X	%.3f	1	-5	0.000152588	uA	%.4f	1	1	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0
FIL_VMON	SEB	0	19	22	0	224	18	2	0xFFFF	0	%04X	%.3f	1	-5	0.000152588	V	%.3f	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FIL_IMON	SEB	0	20	22	0	224	19	2	0xFFFF	0	%04X	%.3f	1	-5	0.000152588	A	%.3f	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SPARE_GND2	SEB	0	21	22	0	224	20	2	0xFFFF	0	%04X	%.3f	1	0	1		%1.0f	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
EM1(HV2-3)_VMON	SEB	0	22	22	0	224	21	2	0xFFFF	0	%04X	%.3f	1	-5	0.000152588	V	%.1f	1	1	0	-1000	0	0	0	0	0	0	0	0	0	0	0	0	0
EM2(HV2-4)_VMON	SEB	0	23	22	0	224	22	2	0xFFFF	0	%04X	%.3f	1	-5	0.000152588	V	%.1f	1	1	0	-1000	0	0	0	0	0	0	0	0	0	0	0	0	0
SRC_A_FOC_A(-100_HV1)_VMON	SEB	0	24	22	0	224	23	2	0xFFFF	0	%04X	%.3f	1	-5	0.000152588	V	%.3f	1	1	0	-100	0	0	0	0	0	0	0	0	0	0	0	0	0
SRC_B_FOC_A(-100_HV2)_VMON	SEB	0	25	22	0	224	24	2	0xFFFF	0	%04X	%.3f	1	-5	0.000152588	V	%.3f	1	1	0	-100	0	0	0	0	0	0	0	0	0	0	0	0	0
LDI_EC(HV1-2)_VMON	SEB	0	26	22	0	224	25	2	0xFFFF	0	%04X	%.3f	1	-5	0.000152588	V	%.3f	1	1	0	-100	0	0	0	0	0	0	0	0	0	0	0	0	0
ROD_BIAS(HV1-3)_VMON	SEB	0	27	22	0	224	26	2	0xFFFF	0	%04X	%.3f	1	-5	0.000152588	V	%.3f	1	1	0	-100	0	0	0	0	0	0	0	0	0	0	0	0	0
OUTPUT_A(EI_ACCEL)_VMON	SEB	0	28	22	0	224	27	2	0xFFFF	0	%04X	%.3f	1	-5	0.000152588	V	%.3f	1	1	0	-100	0	0	0	0	0	0	0	0	0	0	0	0	0
CTL_+5VREF_VMON	SEB	0	29	22	0	224	28	2	0xFFFF	0	%04X	%.3f	1	-5	0.000152588	V	%.3f	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
