Data ID	Sub System	Name	ADC No	Packet Type	Packet Subtype	Decode Type	Decode ID1	Decode ID2	Decode ID3	Decode ID4	Raw Format	Eng Format	Eng Eq Type	Eng K1	Eng K2	Sci Units	Sci Format	Sci Eq Type	Sci K1	Sci K2	Sci K3	Sci K4	Sci K5	Sci K6	Sci K7	Sci K8	Mux Ch	Eng Limit Type	Eng Yellow Limit	Eng Red Limit	Sci Limit Type	Sci Yellow Limit	Sci Red Limit
1	CDH	+5D_Vmon	2	5	0	3	1	0	0	0	%d	%.4f	2	1	10	V	%.4f	1	0	2.00008	0	0	0	0	0	0	1	0	0	0	0	0	0
2	CDH	+13A_Vmon	2	5	0	3	2	0	0	0	%d	%.4f	2	1	10	V	%.4f	1	0	4.032013	0	0	0	0	0	0	2	0	0	0	0	0	0
3	CDH	-13A_Vmon	2	5	0	3	3	0	0	0	%d	%.4f	2	1	10	V	%.4f	1	0	4.027598	0	0	0	0	0	0	3	0	0	0	0	0	0
4	CDH	PS_Temp	2	5	0	3	4	0	0	0	%d	%.4f	2	1	10	C	%.1f	4	32768	18700	0.000925626	0.000222443	1.23436E-07	0	0	0	4	0	0	0	0	0	0
5	CDH	VH_Temp	2	5	0	3	5	0	0	0	%d	%.4f	2	1	10	C	%.1f	4	32768	18700	0.000925626	0.000222443	1.23436E-07	0	0	0	5	0	0	0	0	0	0
6	CDH	AGC_Temp	2	5	0	3	6	0	0	0	%d	%.4f	2	1	10	C	%.1f	4	32768	18700	0.000925626	0.000222443	1.23436E-07	0	0	0	6	0	0	0	0	0	0
7	CDH	DET_Temp	2	5	0	3	7	0	0	0	%d	%.4f	2	1	10	C	%.1f	4	32768	18700	0.000925626	0.000222443	1.23436E-07	0	0	0	7	0	0	0	0	0	0
8	CDH	RF_Temp	2	5	0	3	8	0	0	0	%d	%.4f	2	1	10	C	%.1f	4	32768	18700	0.000925626	0.000222443	1.23436E-07	0	0	0	8	0	0	0	0	0	0
9	CDH	CDH_Temp	2	5	0	3	9	0	0	0	%d	%.4f	2	1	10	C	%.1f	4	32768	18700	0.000925626	0.000222443	1.23436E-07	0	0	0	9	0	0	0	0	0	0
10	CDH	-5.7V_+Ref	2	5	0	3	10	0	0	0	%d	%.4f	2	1	10	V	%.4f	1	0	1.999789	0	0	0	0	0	0	10	0	0	0	0	0	0
11	CDH	RF_PRES	2	5	0	3	11	0	0	0	%d	%.4f	2	1	10	mbar	%.1f	1	80.62	734.31	0	0	0	0	0	0	11	0	0	0	0	0	0
12	CDH	HV_Temp	2	5	0	3	12	0	0	0	%d	%.4f	2	1	10	C	%.1f	4	32768	18700	0.000925626	0.000222443	1.23436E-07	0	0	0	12	0	0	0	0	0	0
13	CDH	FLASH_PWR	2	5	0	3	13	0	0	0	%d	%.4f	2	1	10	V	%.3f	1	0	1.25	0	0	0	0	0	0	13	0	0	0	0	0	0
