source_id,hk_id,name,measure,unit,rate
1,1,FPA.EGSE.SPI Box V,voltage,V,
1,2,FPA.EGSE.SPI Box I,current,mA,
1,3,FPA.EGSE.P2V3 Analog V,voltage,V,
1,4,FPA.EGSE.P2V3 Analog I,current,mA,
1,5,FPA.EGSE.P5V Analog V,voltage,V,
1,6,FPA.EGSE.P5V Analog I,current,mA,
1,7,FPA.EGSE.N5V Analog V,voltage,V,
1,8,FPA.EGSE.N5V Analog I,current,mA,
1,9,FPA.EGSE.N1V2 Analog V,voltage,V,
1,10,FPA.EGSE.N1V2 Analog I,current,mA,
1,11,FPA.EGSE.P3V3 Analog V,voltage,V,
1,12,FPA.EGSE.P3V3 Analog I,current,mA,
1,13,FPA.EGSE.P3V3 Digital V,voltage,V,
1,14,FPA.EGSE.P3V3 Digital I,current,mA,
1,15,FPA.EGSE.RD_1 V,voltage,V,
1,16,FPA.EGSE.RD_1 I,current,mA,
1,17,FPA.EGSE.RD_2 V,voltage,V,
1,18,FPA.EGSE.RD_2 I,current,mA,
1,19,FPA.EGSE.RD_3 V,voltage,V,
1,20,FPA.EGSE.RD_3 I,current,mA,
1,21,FPA.EGSE.SC_DD V,voltage,V,
1,22,FPA.EGSE.SC_DD I,current,mA,
1,23,FPA.EGSE.OTG V,voltage,V,
1,24,FPA.EGSE.OTG I,current,mA,
1,25,FPA.EGSE.DG_L V,voltage,V,
1,26,FPA.EGSE.DG_L I,current,mA,
1,27,FPA.EGSE.RTN V,voltage,V,
1,28,FPA.EGSE.RTN I,current,mA,
1,29,FPA.EGSE.A_I_H V,voltage,V,
1,30,FPA.EGSE.A_I_H I,current,mA,
1,31,FPA.EGSE.A_I_L V,voltage,V,
1,32,FPA.EGSE.A_I_L I,current,mA,
1,33,FPA.EGSE.A_I_MAG V,voltage,V,
1,34,FPA.EGSE.A_I_MAG I,current,mA,
1,35,FPA.EGSE.S_H_SW_H V,voltage,V,
1,36,FPA.EGSE.S_H_SW_H I,current,mA,
1,37,FPA.EGSE.S_L_SW_L V,voltage,V,
1,38,FPA.EGSE.S_L_SW_L I,current,mA,
1,39,FPA.EGSE.S_MAG_SW_MAG V,voltage,V,
1,40,FPA.EGSE.S_MAG_SW_MAG I,current,mA,
1,41,FPA.EGSE.RG1_L V,voltage,V,
1,42,FPA.EGSE.RG1_L I,current,mA,
1,43,FPA.EGSE.RG2_L V,voltage,V,
1,44,FPA.EGSE.RG2_L I,current,mA,
1,45,FPA.EGSE.RG3_L V,voltage,V,
1,46,FPA.EGSE.RG3_L I,current,mA,
1,47,FPA.EGSE.RG1_MAG V,voltage,V,
1,48,FPA.EGSE.RG1_MAG I,current,mA,
1,49,FPA.EGSE.RG2_MAG V,voltage,V,
1,50,FPA.EGSE.RG2_MAG I,current,mA,
1,51,FPA.EGSE.RG3_MAG V,voltage,V,
1,52,FPA.EGSE.RG3_MAG I,current,mA,
1,53,FPA.EGSE.OD V,voltage,V,
1,54,FPA.EGSE.OD I,current,mA,
1,55,FPA.FPA.TEMP RTD_CAL Raw V,voltage,V,
1,56,FPA.FPA.TEMP_CCD_LEFT Raw V,voltage,V,
1,57,FPA.FPA.TEMP_CCD_RIGHT Raw V,voltage,V,
1,58,FPA.FPA.TEMP_PREAMP_TOLEFT Raw V,voltage,V,
